Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BTS/SWIFTCOIN,	89997,	69228,	0,	0.13000013333333333333,	0.89996492304,	3
BTS/READMEMO,	7184,	7191257416,	0,	0.00000009989908,	0.071839999990158,	1
BRIDGE.CRCO/BTS,	12121588,	199836,	1.30000011700001053,	0,	1.5758065818226,	4
BTS/WHALECOIN,	18060120,	23154,	0,	0.7600054720393986836705,	175.971666996,	2
BTCCASH/BTS,	130199016,	20482064,	1.751889266583237806,	0,	228.0942586501,	21
WHALECOIN/BTS,	5000,	3800310,	0.7600054720393986836705,	0,	38.00027360197,	2
OPEN.STEEM/BTS,	8689,	8515320,	9.8,	0,	85.1522,	7
BTS/OPEN.AGRS,	80486866,	109403949,	0,	7.202407987758127379,	787.97187616988,	3
BRIDGE.SHND/BTS,	1174750000,	42291,	0.00000036000000002304,	0,	0.42291000002707,	1
ILICOIN/BTS,	2021166,	641267,	315.0000683685887355,	0,	6.3666742818427,	5
BRIDGE.MARC/BTS,	319884006,	6398,	0.00200010000000775,	0,	0.063980000040308,	1
RUDEX.SMOKE/BTS,	1316999,	58127473,	0.61999,	0,	816.52621001,	5
BTS/CNYRMB,	861175,	27127,	0,	3.17460317333333333333,	8.6117460283013,	1
BTS/BRIDGE.BTC,	672568439,	8027071,	0,	83966.025,	6740.0124426277,	155
BRIDGE.SMART/BTS,	11546033,	2999661,	0.2598001599849385187,	0,	29.996612205914,	1
XBTSX.MNX/BTS,	178978999,	1093751,	5.9,	0,	10.559760941,	6
ETFBTC/BTS,	536659,	537299,	1,	0,	5.36659,	3
BDTOKEN/BTS,	3858105,	2700673,	0.07,	0,	27.006735,	1
BTS/LIFECOIN,	40481,	45963,	0,	0.05,	0.229815,	2
LIFECOIN/BTS,	2454761,	2400000,	0.05,	0,	12.273805,	5
BTS/ICOVO,	74657682,	3891217947182,	0,	0.00000716155735435619,	2786.7180507044,	10
BTS/EASYDEX.PB,	2232000,	9,	0,	1.882863545454545454545454,	16.945771909091,	1
BTS/GOLD,	469998690,	319727,	0,	13536.69981401115933044,	4328.0484214343,	1
BRIDGE.GBX/BTS,	5001166,	100035,	2,	0,	1.0002332,	2
BTS/STARBUCKSCOM,	120000,	12,	0,	10000,	1.2,	1
BRIDGE.XP/BTS,	31820713334,	4773107,	0.00015,	0,	47.731070001,	2
EUR/BTS,	272073,	68752120,	26.08206681265433536784,	0,	709.62261639193,	2
EASYDEX.BTC/BTS,	148,	10870,	73451.0999302214550662,	0,	0.10870762789673,	1
ALTRUISTIC/BTS,	5000000,	500000,	0.01,	0,	5,	1
BRIDGE.BTC/BTS,	11674828,	965988209,	83966.025,	0,	9802.888997187,	354
BROCOIN/BTS,	100000000,	40000,	0.004,	0,	0.4,	1
EVRAZ/BTS,	29832807,	202715287,	0.68277481420446337326,	0,	2036.9089256623,	37
OPEN.ETH/BTS,	3455782424,	1008688582468,	2932.99310603438329295,	0,	10135786.025547,	1271
BTS/SMARTWHALE,	3004926,	100,	0,	0.300492549019607843137254,	30.049254901961,	1
BRIDGE.CRDS/BTS,	3983681706,	661331,	0.01660100000008134,	0,	6.613310000163,	1
BRIDGE.LCC/BTS,	111489778,	1114900,	1.199999900679173547,	0,	133.78772252674,	1
BTS/DEEX.ETH,	100000,	251,	0,	3984.063745019920318725,	1,	1
BTS/OPEN.XRP,	688748,	9999,	0,	6.51955152648281630544,	6.5188995713302,	1
BRIDGE.COLX/BTS,	306438,	1747,	0.00057010004000168239,	0,	0.017470031605804,	1
OPEN.WAVES/BTS,	164233,	62552122,	38,	0,	624.0854,	3
BTS/ESCODEX.BTC,	68537133,	855922,	0,	85213.7781214330424536,	729.36347397253,	23
OPEN.LTC/BTS,	51327247,	59289099,	1200,	0,	615.926964,	13
BTS/ETFBTC,	567717,	470217,	0,	1,	4.70217,	2
SILVER/BTS,	229686,	404546920,	199.9989975501224938753,	0,	4593.6969751297,	3
BTS/XRPCASH,	126993657,	6349689,	0,	20,	1269.9378,	57
BTS/LTCCORE,	146797101,	261368324,	0,	561.648352,	1467.970884396,	60
RUDEX.ETH/BTS,	9409,	261099,	2775,	0,	2.6109975,	1
XBTSX.BBI/BTS,	99900000,	150849,	0.15100000014345,	0,	1.5084900014331,	1
BTS/EDASH,	139054516,	51804413,	0,	3082.815688368616829,	1597.0345712313,	73
BTS/ETHCX,	159699855,	42687806,	0,	3741.1113296304215206,	1596.9983466367,	64
BTS/CRYPTOCEEDS,	147397171,	6866805,	0,	2.14632,	1473.83609076,	71
BTS/CYCLOS,	156717906,	8637617,	0,	19443.2102062940908448,	1679.4300301246,	66
BTS/BTCCX,	149397532,	1757698,	0,	84995.7077167603036046,	1493.9678546233,	65
BTS/BTCCASH,	113187249,	864723242,	0,	1.751889266583237806,	1514.8993662249,	76
BTS/OPEN.ETH,	741317255393,	2539932357,	0,	2932.99310603438329295,	7449604.0928747,	1054
OPEN.SCR/BTS,	460969607258,	5250783235,	0.82020999366344522,	0,	37809.187864813,	13
BTS/PPY,	129321910111,	8551593718,	0,	14.7209080443089829527,	1258872.2475497,	47
XBTSX.SLB/BTS,	1036,	1270836,	12,	0,	12.432,	3
BTS/MVCOIN,	42400,	216,	0,	19.74999971571970106161,	0.42659999385955,	8
BTS/RUDEX.STEEM,	598338311,	632015,	0,	9.899990099990099990099,	6256.9422430452,	27
BTS/COVFEFE,	6431543,	36626022,	0,	0.02082759480908254639,	76.283194568454,	13
BTS/NEOCORE,	8204373,	17367,	0,	472.4112558276527262933,	82.043662799588,	14
BTS/BRIDGE.BEET,	1547,	3479921,	0,	0.444550149299133,	0.015469994000992,	2
BTS/COMPUMATRIX.BTC,	141286626,	706431,	0,	200000.56488,	1412.8659904874,	55
BTS/NETFLIXCOM,	75000,	13,	0,	5769.2307692307692307692,	0.75,	1
TESLACOM/BTS,	150983,	2320428,	0.110109,	0,	0.16624587147,	16
BTS/EASYDEX.BTC,	29700,	297,	0,	73451.0999302214550662,	0.21814976679276,	1
BTS/GDEX.EOS,	153517486,	19418688,	0,	80.69248895178347452,	1566.9422668981,	15
BTS/SOLCERT,	29999,	1,	0,	0.299988863636363636363636,	0.29998886363636,	1
CYCLOS/BTS,	37808560,	204204502,	19443.2102062940908448,	0,	7351.1977967728,	5
BRIDGE.PZDC/BTS,	159027272728,	17493,	0.0000011,	0,	0.1749300000008,	1
BTS/NOWCOIN,	999999,	153846,	0,	0.46000008999158578672,	7.0769173844846,	1
BTS/BRIDGE.RVN,	5324123,	872792,	0,	0.5,	43.6396,	14
GOLD/BTS,	120065,	168828822,	13536.69981401115933044,	0,	1625.2838631692,	3
GDEX.EOS/BTS,	65455968,	519535924,	80.69248895178347452,	0,	5281.8049746683,	16
BRIDGE.RVN/BTS,	4411447,	25033213,	0.5,	0,	220.57235,	26
EASYDEX.PB/BTS,	388,	82277106,	1.882863545454545454545454,	0,	730.55105563636,	6
BTS/NEMXEM,	11105184,	3830783,	0,	30,	114.92349,	14
FSTSH/BTS,	1481210,	186000,	0.01100001100001100001,	0,	1.6293326293326,	2
BRIDGE.ETH/BTS,	241117,	70188586,	2890.899926584936492023,	0,	697.04511759838,	19
BADCOIN/BTS,	14747029276,	43837832,	0.00010400000000033288,	0,	153.36910447089,	7
BRIDGE.BCO/BTS,	4230276754,	291242529,	6.83755961171564578,	0,	2892.476947953,	90
PISOPH/BTS,	2097802,	11159558,	0.57994957462901714143,	0,	121.66193775559,	10
BTS/BRIDGE.ZNY,	242630332,	12190547049,	0,	0.2,	2438.1094098,	86
BTS/RUDEX.WLS,	222750950,	1766725,	0,	1.28,	2261.408,	8
BTS/OPEN.STEEM,	241998591,	241951,	0,	9.8,	2371.1198,	6
BTS/MESSAGES,	25000,	1,	0,	0.25,	0.25,	1
PPY/BTS,	57362810,	850779269,	14.7209080443089829527,	0,	8444.3265117317,	86
BTS/XBTSX.MNX,	582051,	89972648,	0,	5.9,	5.308386232,	6
QORA/BTS,	35261966,	6170844,	1.7500000001640625,	0,	61.708440505785,	1
BTS/AIRHAWK,	100000,	40000000,	0,	0.025,	1,	1
