Market,,Sum(Quote amounts),,Sum(Base amounts),,Quote/BTS ticker,,Base/BTS ticker,,Volume in BTS,,Trade count
BRIDGE.BTC/BRIDGE.PARQ,,243151504,,368078550379,,81916.071505865,,0,,199180.15988423,,71
BRIDGE.BTC/BRIDGE.CATO,,5684051,,140987295145,,81916.071505865,,0,,4656.1512815898,,69
BRIDGE.BTC/BRIDGE.XORN,,2447,,187883946,,81916.071505865,,0,,2.0044862697485,,7
BRIDGE.TFC/BRIDGE.BTC,,2990476191,,628,,0,,81916.071505865,,0.51443292905683,,1
BTS/ECASH,,1701733,,1577473,,0,,0.10787,,17.016201251,,3
BRIDGE.BTC/BRIDGE.OLMP,,14293001,,16606480002620,,81916.071505865,,0.007999955400945,,11708.264919494,,3
BRIDGE.UFO/BRIDGE.BTC,,14716834071,,517922,,0.000200500000003,,81916.071505865,,29.507252312768,,7
BTS/ETHCX,,1701727,,454872,,0,,3741.11132963042,,17.017267927316,,4
GDEX.BTC/OPEN.BTC,,4521496,,4472352,,81499.7585569653,,83616.1379374634,,3685.0083231628,,12
BRIDGE.CATO/BRIDGE.BTC,,4470521405,,172994,,0,,81916.071505865,,141.70988874086,,3
BRIDGE.RVN/BRIDGE.BTC,,124200638,,10729915,,0.600000240000096,,81916.071505865,,7452.0412608165,,50
BTS/LAMBO,,289920,,74338461,,0,,0.39,,2.899199979,,2
ESCODEX.HCASH/ESCODEX.BTC,,887359,,10950,,0,,80035.2756382355,,8.7638626823868,,1
BRIDGE.BTC/BRIDGE.IFX,,11089026,,193535148974,,81916.071505865,,1.92307692307692,,9083.694467464,,17
BRIDGE.BTC/BRIDGE.PRJ,,61050,,5500000000,,81916.071505865,,0,,50.009761654331,,1
HOTDEX.HTS/HOTDEX.BTC,,1411072586055,,103777955,,0,,69066.0261814249,,71675.309570847,,201
BRIDGE.BTC/BRIDGE.ALQO,,3451,,7058081,,81916.071505865,,0.121513200005832,,2.8269236276674,,1
BRIDGE.BWK/BRIDGE.BTC,,44355038266,,6112497,,1.4,,81916.071505865,,6209.70535724,,8
USD/OPEN.EOS,,24896958,,606736243,,19.5541685380619,,79.0070342270609,,48683.931281705,,36
BTS/BTCCX,,1201156,,14132,,0,,84995.3605983766,,12.011544359763,,2
BRIDGE.BTC/BRIDGE.MERI,,1911027,,3504157146,,81916.071505865,,0,,1565.4382438164,,9
BRIDGE.BTC/BRIDGE.XMCC,,10979,,304961803,,81916.071505865,,0.053192200000063,,8.9935654906289,,1
BRIDGE.LRM/BRIDGE.BTC,,108499076053,,211577213,,0,,81916.071505865,,173315.7410912,,116
BRIDGE.XSG/BRIDGE.BTC,,90578949,,13768,,0,,81916.071505865,,11.278204724927,,2
BRIDGE.BTC/BRIDGE.BECN,,7720533,,148251053550,,81916.071505865,,0.000193948797517,,6324.3573329139,,14
BRIDGE.KYD/BRIDGE.BTC,,5559350396,,309235,,0,,81916.071505865,,253.31316372116,,3
BTS/BRIDGE.XP,,5905340,,23622974467,,0,,0.00025,,59.0574361675,,4
BRIDGE.BTC/BRIDGE.LABX,,3543921,,554510848,,81916.071505865,,0,,2903.0408604714,,9
BRIDGE.TRAID/BRIDGE.BTC,,732757794,,24181,,0.03125,,81916.071505865,,22.8986810625,,2
BRIDGE.AEG/BRIDGE.BTC,,385471699,,2043,,0.000827864123298,,81916.071505865,,0.031911819014893,,1
SILVER/USD,,399999,,4319989,,200,,19.5541685380619,,7999.98,,2
BRIDGE.BTC/BRIDGE.FLX,,4278556,,4023384006,,81916.071505865,,0,,3504.8249923785,,13
DEEX/BTS,,30119975,,103411682,,0.34001101635693,,0,,1024.1123312395,,6
RUBLE/EUR,,85345249,,106283,,0.33333333144415,,26.5989999646005,,284.48416172101,,3
USD/EVRAZ,,110419,,3144786,,19.5541685380619,,0.6775,,215.91517358043,,3
XBTSX.BTC/OPEN.BTC,,12683,,12175,,82000,,83616.1379374634,,10.40006,,2
BTS/CNY,,74845021847,,2322220781,,0,,3.2,,743110.64992,,675
BRIDGE.BTC/BRIDGE.IC,,1462,,56667277,,81916.071505865,,1.39999063749747,,1.1976129654157,,1
BTS/COMPUMATRIX.BTC,,1701206,,8506,,0,,200000.56488,,17.012048048693,,3
BRIDGE.ECA/BRIDGE.BTC,,2171408617,,1416897,,0.00325181950328,,81916.071505865,,706.10288903514,,3
EUR/EVRAZ,,106258,,4080213,,26.5989999646005,,0.6775,,282.63565382385,,4
CNY/BTSUCN,,23910000,,4239773847,,3.2,,16.6666666666667,,7651.2,,3
BRIDGE.AGM/BRIDGE.BTC,,7334146621,,125414,,1.11519980533E-05,,81916.071505865,,0.008179038884001,,5
BRIDGE.ARRR/BRIDGE.BTC,,45810964672,,29859368,,0.008084074373484,,81916.071505865,,370.33924552951,,34
BRIDGE.HLX/BRIDGE.BTC,,32735714287,,92949,,0,,81916.071505865,,76.140169303986,,4
BRIDGE.SINS/BRIDGE.BTC,,3083308666,,19451730,,0,,81916.071505865,,15934.093055928,,36
GDP/CNY,,2857142857,,2000000,,0.2,,3.2,,571.4285714,,1
BTS/OPEN.EOS,,498535554,,60776998,,0,,79.0070342270609,,4801.810361204,,16
BRIDGE.HTH/BRIDGE.BTC,,7537742674,,41647,,2.41000000003542E-05,,81916.071505865,,1.8165959844607,,4
BRIDGE.BTC/BRIDGE.WCF,,6604110,,701240726731,,81916.071505865,,0,,5409.827469926,,16
ESCODEX.OXG/ESCODEX.BTC,,1110008567474,,38275,,0,,80035.2756382355,,30.633501750535,,35
BRIDGE.PHON/BRIDGE.BTC,,79272380075,,889012,,0,,81916.071505865,,728.24370561572,,3
OPEN.BTC/OPEN.EOS,,102441,,1052050,,83616.1379374634,,79.0070342270609,,85.657207864517,,1
BRIDGE.BTC/BRIDGE.MIDAS,,829833,,6237425263,,81916.071505865,,0,,679.76659365927,,16
BRIDGE.BTC/BRIDGE.ZEC,,4003544,,30759723,,81916.071505865,,0,,3279.5459658088,,6
BRIDGE.CFL/BRIDGE.BTC,,1948228245,,694073,,0.009424929447334,,81916.071505865,,183.61913756429,,7
BRIDGE.BTC/BRIDGE.DEV,,4535547,,26569574893,,81916.071505865,,0.600000024000001,,3715.3419237021,,8
BRIDGE.POLIS/BRIDGE.BTC,,3471073598,,8371074,,0.112510000003279,,81916.071505865,,39.053049052236,,11
ESCODEX.BTC/ESCODEX.USDT,,5334456,,19814065715,,80035.2756382355,,25,,4269.4465634004,,4
BRIDGE.BTC/BRIDGE.RCO,,50,,50011874,,81916.071505865,,0.0007149,,0.040958035752933,,1
BRIDGE.SEND/BRIDGE.BTC,,2222382934,,604488,,0.016025641025641,,81916.071505865,,35.615111121795,,2
BTS/SILVER,,799998000,,399999,,0,,200,,7999.98,,3
BTS/BTCPCX,,1701732,,42543466,,0,,39.9998932843503,,17.017340999464,,4
BRIDGE.LCC/BRIDGE.BTC,,6780647310,,1495616,,0.1000001000001,,81916.071505865,,678.06540906541,,15
BRIDGE.MANO/BRIDGE.BTC,,111822,,7,,0.0006667,,81916.071505865,,7.455172740004E-06,,1
LAMBO/RUBLE,,32389113,,399999,,0.39,,0.33333333144415,,1.263175407,,2
BRIDGE.PACT/BRIDGE.BTC,,9054531250,,231796,,0,,81916.071505865,,189.87817710773,,2
BTS/BTCPLUS,,1701734,,23069358487,,0,,0.073765987073909,,17.017339999554,,3
GDEX.BTC/RUDEX.BTC,,1064038,,1058221,,81499.7585569653,,82828.3565,,867.18840095436,,3
BRIDGE.BTC/BRIDGE.PRX,,2294443,,17598274723,,81916.071505865,,0.000286,,1879.5175685413,,22
BTS/OPEN.LTC,,34028392,,28357377,,0,,1200,,340.288524,,3
EUR/OPEN.USDT,,1,,113,,26.5989999646005,,19.412,,0.00265989999646,,1
BRIDGE.ROCO/BRIDGE.BTC,,5137442399,,668895,,0,,81916.071505865,,547.93250649916,,16
