Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.BTC/BRIDGE.ANDS,	4,	2000920,	82900.179893390368657,	0,	0.0033160071957356,	1
BRIDGE.BTC/BRIDGE.MNT,	181,	116783635,	82900.179893390368657,	0.02,	0.15004932560704,	1
BRIDGE.BTC/XBTSX.BTC,	1383288,	1383288,	82900.179893390368657,	82000,	1146.7482404437,	2
BRIDGE.EPIC/BRIDGE.BTC,	95766525513,	4581664,	0.00010110000000001,	82900.179893390368657,	0.96819957293653,	13
BRIDGE.OXID/BRIDGE.BTC,	5582394180,	15086,	0,	82900.179893390368657,	12.506321138717,	5
BRIDGE.BCARD/BRIDGE.BTC,	243256000005,	364884,	0,	82900.179893390368657,	302.4894924022,	13
BRIDGE.GIC/BRIDGE.BTC,	16129038281,	10467211,	0,	82900.179893390368657,	8677.3367488207,	34
BRIDGE.TZC/BRIDGE.BTC,	2773500490,	166410,	0,	82900.179893390368657,	137.95418936059,	1
BRIDGE.EVOS/BRIDGE.BTC,	455147972702,	32472047,	1,	82900.179893390368657,	45514.7972702,	61
BRIDGE.FOR/BRIDGE.BTC,	4775834938,	155217,	0.0300000030000003,	82900.179893390368657,	143.27506246751,	4
BRIDGE.KLKS/BRIDGE.BTC,	8593006172,	352702,	0.25000010000004,	82900.179893390368657,	214.8252402301,	5
BRIDGE.DOGEC/BRIDGE.BTC,	175001117161,	35670884,	0.02380970000017001,	82900.179893390368657,	416.6724099298,	61
BRIDGE.BTC/BRIDGE.KLKS,	837328,	17440542995,	82900.179893390368657,	0.25000010000004,	694.14641829773,	4
BRIDGE.BTC/BRIDGE.USDT,	10881316,	4135227,	82900.179893390368657,	21.73912830824411716754,	9020.6305387683,	4
BRIDGE.BTC/BRIDGE.FLX,	33235486,	24182926670,	82900.179893390368657,	0,	27552.277682443,	58
BRIDGE.BTC/BRIDGE.BIR,	38654835,	59630297685,	82900.179893390368657,	0.011251000000201336,	32044.927752493,	97
BRIDGE.BTC/BRIDGE.APR,	17386,	591384624,	82900.179893390368657,	0.00037100000000019,	14.413025276265,	2
BRIDGE.FLX/BRIDGE.BTC,	109949056597,	143347137,	0,	82900.179893390368657,	118835.03444502,	149
BRIDGE.ISF/BRIDGE.BTC,	65007950453,	240283,	0,	82900.179893390368657,	199.19503925324,	11
BRIDGE.BTC/BRIDGE.ABET,	184581043,	85976867892,	82900.179893390368657,	0,	153018.0166961,	372
BRIDGE.BTC/BRIDGE.GMCN,	16494,	23171173424,	82900.179893390368657,	0.00001102,	13.673555671616,	2
ESCODEX.BTC/BRIDGE.BTC,	2794034,	2725908,	79668.7063127408923633,	82900.179893390368657,	2225.9707417381,	93
BRIDGE.SMART/BRIDGE.BTC,	462668859,	1295927,	0.2598001599849385187,	82900.179893390368657,	1202.0144358825,	14
BRIDGE.BTC/BRIDGE.PPI,	6664,	2221334179,	82900.179893390368657,	0.01125120000008324,	5.5244679880955,	4
BRIDGE.BTC/BRIDGE.BITG,	50986275,	69982815532,	82900.179893390368657,	3.42959877547086047,	42267.713695939,	83
BRIDGE.RSP/BRIDGE.BTC,	9541500000,	3843,	0,	82900.179893390368657,	3.185853913303,	2
BRIDGE.BTC/BRIDGE.SCN,	395,	10000000,	82900.179893390368657,	0,	0.32745571057889,	1
BRIDGE.TFC/BRIDGE.BTC,	25976190477,	5455,	0,	82900.179893390368657,	4.5222048131844,	1
BRIDGE.BTC/BRIDGE.MOBI,	1566861268,	155672923409,	82900.179893390368657,	0,	1298930.8098519,	822
BRIDGE.BTC/OPEN.BTC,	75253375,	73151257,	82900.179893390368657,	83682.00836820083682,	62385.183250848,	105
BRIDGE.BTC/BRIDGE.XSG,	18123,	113271310,	82900.179893390368657,	0,	15.023999602079,	1
BRIDGE.BTC/BRIDGE.KYD,	3749032,	62812513633,	82900.179893390368657,	0,	3107.9542722608,	7
BRIDGE.ATHR/BRIDGE.BTC,	111537454911,	477644,	0,	82900.179893390368657,	395.96773524999,	5
BRIDGE.ABET/BRIDGE.BTC,	143330767320,	291806848,	0,	82900.179893390368657,	241908.40193323,	315
BRIDGE.SUBIX/BRIDGE.BTC,	3147697597,	688655,	17.9999289025304934,	82900.179893390368657,	566.58332952666,	6
BRIDGE.BTC/BRIDGE.XRP,	1402202,	1702038715,	82900.179893390368657,	5.00002000008000032,	1162.4279804687,	11
BRIDGE.GTM/BRIDGE.BTC,	88452198994,	95507030,	0.21834061135371179,	82900.179893390368657,	1931.270720393,	187
BRIDGE.ELLI/BRIDGE.BTC,	64029608129,	336720,	0.01016349964744337,	82900.179893390368657,	65.076489964503,	6
BRIDGE.HTH/BRIDGE.BTC,	48588368551,	268457,	0.0000241000000003542,	82900.179893390368657,	11.709796820963,	23
BRIDGE.BTC/BRIDGE.CFL,	5084015,	13973800583,	82915.225563909774436,	0.0094249294473343896,	4215.422504953,	41
BRIDGE.BTC/BRIDGE.DOGEC,	9012486,	39527480320,	82915.225563909774436,	0.02380970000017001,	7472.7230958158,	25
BRIDGE.EBCR/BRIDGE.BTC,	261927485,	38034,	0,	82915.225563909774436,	31.535976890977,	4
BRIDGE.RESC/BRIDGE.BTC,	628011640,	316977,	0,	82915.225563909774436,	262.82219453571,	4
BRIDGE.BTC/BRIDGE.GRV,	909154,	40285356862,	82915.225563909774436,	0,	753.82708982331,	36
BRIDGE.BTC/BRIDGE.SYNX,	92,	1053600,	82915.225563909774436,	0,	0.076282007518797,	2
BRIDGE.BTC/BRIDGE.HLX,	958,	217739255,	82915.225563909774436,	0,	0.79432786090226,	1
BRIDGE.BTC/BRIDGE.PAC,	33049170,	15713602113,	82915.225563909774436,	0.00012020000000110584,	27402.7938525,	46
BRIDGE.VYI/BRIDGE.BTC,	29590000000,	2959,	0.00010020000000002,	82915.225563909774436,	0.29649180000006,	1
BRIDGE.BTC/BRIDGE.HTML,	74686,	364322231,	82915.225563909774436,	0.00489999999967333333,	61.926065364662,	5
BRIDGE.LABX/BRIDGE.BTC,	17512111157,	109844516,	0,	82915.225563909774436,	91077.828210985,	84
BRIDGE.SEND/BRIDGE.BTC,	17841938024,	4833858,	0.016025641025641025,	82915.225563909774436,	285.92849397436,	10
SPARKDEX.BTC/BRIDGE.BTC,	7895,	77371,	82229.4843138244561573,	82915.225563909774436,	64.920177865764,	2
BRIDGE.MNT/BRIDGE.BTC,	17566169145,	17566,	0.02,	82915.225563909774436,	351.3233829,	1
BRIDGE.PHON/BRIDGE.BTC,	2786309036939,	30914144,	0,	82915.225563909774436,	25632.532228752,	64
BRIDGE.USERV/BRIDGE.BTC,	27164179105,	5460,	0,	82915.225563909774436,	4.5271713157895,	1
BRIDGE.BTC/BRIDGE.PRJ,	8286330,	671367970029,	82915.225563909774436,	0,	6870.6292104699,	38
BRIDGE.BTC/BRIDGE.HANA,	4445,	1491804114,	82800.6491570893915808,	0,	3.6804888550326,	3
BRIDGE.BTC/BRIDGE.CTT,	1520318601,	370662267888,	82800.6491570893915808,	0,	1258833.670884,	1479
BRIDGE.GRVS/BRIDGE.BTC,	790000000,	19750,	0,	82800.6491570893915808,	16.353128208525,	1
BRIDGE.BTC/BRIDGE.DGB,	12799474,	4196295481208,	82800.6491570893915808,	0.295999998414175,	10598.047560693,	33
BRIDGE.BCA/BRIDGE.BTC,	1198244887,	395827,	0.07256894049346879,	82800.6491570893915808,	8.6955361901306,	3
BRIDGE.ZBA/BRIDGE.BTC,	47892477396,	177353,	0,	82800.6491570893915808,	146.84943529957,	4
BRIDGE.BTC/BRIDGE.POLIS,	216897679,	90302377433,	82800.6491570893915808,	0.11251000000327921,	179592.68621866,	69
BRIDGE.BTC/BRIDGE.TRTT,	9922376,	50675630541,	82800.6491570893915808,	0.00105700000000102,	8215.7917398072,	33
BRIDGE.BTC/BRIDGE.QST,	152826883,	14653700239,	82800.6491570893915808,	0,	126541.65121055,	16
BRIDGE.DEV/BRIDGE.BTC,	427564451029,	73755230,	0.60000002400000096,	82800.6491570893915808,	25653.868087895,	61
BRIDGE.APR/BRIDGE.BTC,	5879781819,	163359,	0.00037100000000019,	82800.6491570893915808,	0.21813990548501,	3
BRIDGE.BTC/BRIDGE.GTM,	89290757,	79731976021,	82800.6491570893915808,	0.21834061135371179,	73933.326433279,	187
BRIDGE.BTC/BRIDGE.CDM,	6307117,	2046870158348,	82800.6491570893915808,	0.000470300000000505,	5222.3338190971,	119
BRIDGE.IQ/BRIDGE.BTC,	1810672013,	10764,	0,	82800.6491570893915808,	8.9126618752691,	5
BRIDGE.BTC/BRIDGE.XGS,	964890,	26552946065,	82800.6491570893915808,	0,	798.93518365184,	19
BRIDGE.BTC/BRIDGE.ETH,	2001723,	562282,	82800.6491570893915808,	2890.900005525864995224,	1657.4396383268,	4
